20211022	18:39:55	5719db06-60ad-4bd9-9946-36a5708a9916	DELETE 	undefined 	/employees
20211022	18:40:09	dff727a4-6966-446a-8a7c-8155f39331fc	PUT 	undefined 	/employees
20211022	18:40:21	bc287162-dc01-462d-9469-449d086f8836	PUT 	undefined 	/employees
20211023	17:48:18	a8e3c3ba-db5a-45e0-8933-11581c98fe5d	GET 	undefined 	/
20211023	17:48:18	c53d4810-4de2-409a-b570-1985e2a4dcad	GET 	undefined 	/css/style.css
20211023	17:49:38	5e3d51e6-36d8-45c7-825d-86e13b0e9a19	GET 	undefined 	/resister
20211023	17:50:01	33fcbb99-4db8-4f16-8268-15565fa3140a	POST 	undefined 	/resister
20211023	17:51:06	c5c85e31-bad6-4091-9550-ac991e383a3a	POST 	undefined 	/resister
20211023	17:52:36	6d57e2a1-3bea-4964-bdfa-213cb120e155	POST 	undefined 	/resister
20211023	17:53:37	fc0e472f-2175-45a2-bfcd-766efe7eead3	GET 	undefined 	/resister
20211023	17:53:44	e248226d-c540-4a2f-bfca-e132170803aa	POST 	undefined 	/resister
20211023	17:55:38	fba3f487-0204-4750-ac16-3aa0724a6465	POST 	undefined 	/resister
20211023	17:55:47	da5f0a79-a429-4c91-a455-9737b85d1905	GET 	undefined 	/resister
20211023	17:55:59	aa7b78b9-8949-4f42-a411-3f411cee9323	POST 	undefined 	/resister
20211023	17:56:24	cedd4b2d-cab9-482b-9384-732a608a0441	POST 	undefined 	/resister
20211023	17:58:30	2b4f50a7-93ef-49a2-9001-88bbdc43acf7	POST 	undefined 	/resister
20211023	17:58:54	0c9dbeca-1635-4286-b36d-b9aa7e97dbfb	GET 	undefined 	/resister
20211023	17:59:04	05725e26-90ab-48b0-9093-d36a6351c05a	GET 	undefined 	/user
20211023	17:59:06	ce8af2c8-39d9-4d63-8d6b-4f33879db85c	GET 	undefined 	/users
20211023	17:59:10	146aa0b7-161e-4c61-b212-6c9db04c0365	GET 	undefined 	/user
20211023	20:16:25	7e43793c-4273-466a-a01f-8dc096f65bfa	POST 	undefined 	/user
20211023	20:16:35	ffed3688-c9a0-46e4-ab44-10d12465011a	POST 	undefined 	/auth
20211023	20:18:57	4fc97a8a-491a-40aa-a051-00a5d8c57b25	POST 	undefined 	/resister
20211023	20:19:04	89c3dc23-a809-4e32-a14d-844bd2c90027	POST 	undefined 	/user
20211023	20:19:22	46bc8c30-bec3-4c61-abd7-79227d9fbeae	POST 	undefined 	/resister
20211023	20:19:23	868fa4c7-ea47-4781-a61e-1fd074b258cb	POST 	undefined 	/resister
20211023	20:19:39	4b44c7ff-4505-42bd-b316-fce6fa0299bd	POST 	undefined 	/resister
20211023	20:20:09	bb9453e9-7d18-464c-b49b-0942fe0fb9fd	POST 	undefined 	/resister
20211023	20:20:12	8c85d7d1-7b15-4df7-b38d-4165f0b057b2	POST 	undefined 	/resister
20211023	20:20:24	600560e6-43ca-4e60-809a-c6ede3c14d0f	POST 	undefined 	/resister
